rule_id,fraud_type,rule,risk_score_range,explanation
FR-001,Card Fraud,Transaction amount exceeds 3x user average spending,0.80-0.95,Large deviation from normal spending pattern
FR-002,Card Fraud,Transaction amount exceeds historical maximum,0.75-0.90,Unusual high-value transaction
FR-003,Card Fraud,Multiple transactions within 1 minute,0.85-0.97,Rapid activity suggests automated fraud
FR-004,Card Fraud,More than 10 transactions within 10 minutes,0.80-0.94,Possible bot-driven payment attempts
FR-005,Card Fraud,Multiple declined transactions followed by success,0.75-0.90,Fraudsters test card validity
FR-006,Card Fraud,Large transaction after several small ones,0.78-0.92,Card testing behavior
FR-007,Card Fraud,ATM withdrawal followed by online purchase quickly,0.70-0.88,Suspicious transaction combination
FR-008,Card Fraud,Transaction immediately after card activation,0.65-0.82,Possible stolen card usage
FR-009,Card Fraud,Repeated purchases from same merchant in seconds,0.75-0.89,Automated payment behavior
FR-010,Card Fraud,High-value international transaction,0.82-0.96,High-risk cross-border payment

FR-011,Geolocation Fraud,Transaction from new country,0.70-0.88,Location anomaly
FR-012,Geolocation Fraud,Transaction from new city far from home,0.68-0.84,Possible stolen card
FR-013,Geolocation Fraud,Two transactions from different countries within minutes,0.90-0.99,Impossible travel scenario
FR-014,Geolocation Fraud,Transaction from VPN detected IP,0.72-0.90,Anonymized location
FR-015,Geolocation Fraud,Transaction from TOR network IP,0.80-0.95,Highly suspicious network source
FR-016,Geolocation Fraud,Login from country never seen before,0.75-0.90,Possible account compromise
FR-017,Geolocation Fraud,Transaction distance exceeds 1000 km in short time,0.85-0.97,Impossible movement
FR-018,Geolocation Fraud,Multiple countries used in same session,0.83-0.96,Suspicious access pattern
FR-019,Geolocation Fraud,Location inconsistent with travel history,0.70-0.85,Behavior anomaly
FR-020,Geolocation Fraud,High-value purchase from high-risk region,0.82-0.94,Known fraud hotspot

FR-021,Account Takeover,Password change before large transaction,0.88-0.97,Attackers change credentials
FR-022,Account Takeover,Email address changed before transaction,0.82-0.94,Account takeover indicator
FR-023,Account Takeover,Security questions modified before payment,0.80-0.92,Account recovery abuse
FR-024,Account Takeover,Multiple failed login attempts detected,0.78-0.90,Brute force attempt
FR-025,Account Takeover,Login from unknown device,0.70-0.85,Device anomaly
FR-026,Account Takeover,Multiple device logins simultaneously,0.82-0.94,Account compromise signal
FR-027,Account Takeover,Login from new IP address,0.65-0.82,Possible unauthorized access
FR-028,Account Takeover,Account accessed after long inactivity,0.68-0.85,Account reactivation fraud
FR-029,Account Takeover,Password reset followed by purchase,0.85-0.95,Takeover pattern
FR-030,Account Takeover,Account accessed from TOR network,0.82-0.95,Anonymous access attempt

FR-031,Behavioral Fraud,Sudden spike in transaction frequency,0.72-0.88,Behavior anomaly
FR-032,Behavioral Fraud,New merchant category never used before,0.65-0.80,Behavior deviation
FR-033,Behavioral Fraud,Unusual transaction time compared to history,0.60-0.78,Temporal anomaly
FR-034,Behavioral Fraud,High-value purchase at unusual time,0.70-0.88,Suspicious timing
FR-035,Behavioral Fraud,Sudden increase in daily spending,0.72-0.90,Behavior shift
FR-036,Behavioral Fraud,User spending outside preferred categories,0.65-0.80,Preference anomaly
FR-037,Behavioral Fraud,Multiple purchases from unfamiliar merchants,0.70-0.85,Unusual merchant behavior
FR-038,Behavioral Fraud,Transaction pattern inconsistent with history,0.75-0.90,Strong anomaly
FR-039,Behavioral Fraud,Sudden high-value electronics purchase,0.70-0.85,Fraudsters target resellable items
FR-040,Behavioral Fraud,Frequent small purchases in short period,0.68-0.82,Card testing

FR-041,Bot Fraud,Transactions executed at exact intervals,0.80-0.95,Automated script pattern
FR-042,Bot Fraud,Payment requests from automated user agent,0.75-0.90,Bot activity
FR-043,Bot Fraud,High request frequency from single IP,0.78-0.92,Automation attempt
FR-044,Bot Fraud,Multiple accounts accessed from same device,0.82-0.95,Fraud ring behavior
FR-045,Bot Fraud,Mass account creation detected,0.80-0.94,Bot signup attack
FR-046,Bot Fraud,Repeated API payment calls detected,0.85-0.96,Automated attack
FR-047,Bot Fraud,Login attempts from rotating proxies,0.83-0.95,Credential stuffing
FR-048,Bot Fraud,Transaction bursts detected,0.82-0.93,Automated payment system
FR-049,Bot Fraud,Unusual browser fingerprint detected,0.75-0.90,Automation tool
FR-050,Bot Fraud,Script-based checkout attempts,0.80-0.92,Bot purchase attempt

FR-051,Merchant Fraud,Transactions with newly created merchant account,0.70-0.85,Merchant legitimacy uncertain
FR-052,Merchant Fraud,Merchant flagged in fraud reports,0.80-0.94,High-risk merchant
FR-053,Merchant Fraud,Multiple refunds requested from same merchant,0.72-0.88,Refund abuse
FR-054,Merchant Fraud,Transactions linked to blacklisted merchant,0.90-0.99,Confirmed fraud pattern
